Kód,Územná jednotka,Spolu,muži (abs.),muži (%),ženy (abs.),ženy (%)
SK0225505706,Veľké Kršteňany,600,315,52.5,285,47.5
SK0225505722,Veľké Uherce,1990,1007,50.6,983,49.4
SK0225505731,Veľký Klíž,877,431,49.14,446,50.86
SK0225505803,Žabokreky nad Nitrou,1738,878,50.52,860,49.48
SK0225542733,Bošany,4063,2003,49.3,2060,50.7
SK0225542962,Hradište (Okres Partizánske),1003,518,51.65,485,48.35
SK0225543004,Chynorany,2725,1361,49.94,1364,50.06
SK0225543047,Klátova Nová Ves,1611,815,50.59,796,49.41
SK0225543055,Kolačno,885,449,50.73,436,49.27
SK0225556173,Livina,118,52,44.07,66,55.93
SK0225556190,Livinské Opatovce,283,144,50.88,139,49.12
SK0225556246,Krásno,526,258,49.05,268,50.95
SK0225556271,Turčianky,140,76,54.29,64,45.71
SK0225556416,Ješkova Ves,496,244,49.19,252,50.81
SK0225580449,Brodzany,878,454,51.71,424,48.29
SK0225580953,Malé Uherce,793,397,50.06,396,49.94
SK0226512842,Považská Bystrica,38641,18856,48.8,19785,51.2
SK0226512915,Brvnište,1214,620,51.07,594,48.93
SK0226512966,Dolná Mariková,1412,688,48.73,724,51.27
SK0226513008,Domaniža,1601,816,50.97,785,49.03
SK0226513083,Horná Mariková,576,291,50.52,285,49.48
SK0226513172,Jasenica,1191,595,49.96,596,50.04
SK0226513245,Kostolec,248,119,47.98,129,52.02
SK0226513466,Papradno,2407,1213,50.39,1194,49.61
SK0226513474,Plevník-Drienové,1639,798,48.69,841,51.31
SK0226513563,Prečín,1510,756,50.07,754,49.93
SK0226513601,Pružina,2037,1031,50.61,1006,49.39
SK0226513687,Stupné,684,360,52.63,324,47.37
SK0226513741,Udiča,2247,1127,50.16,1120,49.84
SK0226513784,Vrchteplá,248,129,52.02,119,47.98
SK0226513822,Záskalie,194,105,54.12,89,45.88
SK0226518913,Sverepec,1356,688,50.74,668,49.26
SK0226546640,Dolný Lieskov,820,456,55.61,364,44.39
SK0226557480,Slopná,484,243,50.21,241,49.79
SK0226557510,Hatné,636,300,47.17,336,52.83
SK0226557552,Klieština,346,176,50.87,170,49.13
SK0226557561,Čelkova Lehota,148,72,48.65,76,51.35
SK0226557579,Malé Lednice,480,240,50,240,50
SK0226557595,Sádočné,155,78,50.32,77,49.68
SK0226557609,Ďurďové,142,73,51.41,69,48.59
SK0226557633,Bodiná,493,256,51.93,237,48.07
SK0226558222,Počarová,149,76,51.01,73,48.99
SK0226580856,Horný Lieskov,434,224,51.61,210,48.39
SK0226580864,Podskalie,125,66,52.8,59,47.2
SK0227513881,Prievidza,45017,21753,48.32,23264,51.68
SK0227513903,Bojnice,4978,2372,47.65,2606,52.35
SK0227513911,Bystričany,1785,890,49.86,895,50.14
SK0227513920,Cigeľ,1271,626,49.25,645,50.75
SK0227513938,Čavoj,488,267,54.71,221,45.29
SK0227513946,Čereňany,1754,870,49.6,884,50.4
SK0227513954,Diviacka Nová Ves,1790,870,48.6,920,51.4
SK0227513962,Diviaky nad Nitricou,1761,865,49.12,896,50.88
SK0227513971,Dlžín,165,74,44.85,91,55.15
SK0227513989,Dolné Vestenice,2495,1265,50.7,1230,49.3
SK0227513997,Handlová,16199,7984,49.29,8215,50.71
SK0227514004,Horná Ves (Okres Prievidza),1072,559,52.15,513,47.85
SK0227514012,Horné Vestenice,629,309,49.13,320,50.87
SK0227514021,Chrenovec-Brusno,1391,697,50.11,694,49.89
SK0227514039,Chvojnica (Okres Prievidza),242,124,51.24,118,48.76
SK0227514063,Kamenec pod Vtáčnikom,1744,850,48.74,894,51.26
SK0227514071,Kanianka,3974,1955,49.19,2019,50.81
SK0227514080,Kľačno,1069,534,49.95,535,50.05
SK0227514098,Kocurany,523,254,48.57,269,51.43
SK0227514101,Kostolná Ves,510,251,49.22,259,50.78
SK0227514110,Koš,1041,535,51.39,506,48.61
SK0227514128,Lazany,1735,873,50.32,862,49.68
SK0227514136,Lehota pod Vtáčnikom,3815,1932,50.64,1883,49.36
SK0227514144,Liešťany,1204,592,49.17,612,50.83
SK0227514179,Malá Čausa,699,354,50.64,345,49.36
SK0227514187,Malinová,972,503,51.75,469,48.25
SK0227514209,Nedožery-Brezany,2105,1045,49.64,1060,50.36
SK0227514217,Nevidzany (Okres Prievidza),304,142,46.71,162,53.29
SK0227514225,Nitrianske Pravno,3163,1523,48.15,1640,51.85
SK0227514233,Nitrianske Rudno,1925,950,49.35,975,50.65
SK0227514241,Nitrianske Sučany,1188,598,50.34,590,49.66
SK0227514250,Nitrica,1182,598,50.59,584,49.41
SK0227514268,Nováky,4197,2067,49.25,2130,50.75
SK0227514284,Opatovce nad Nitrou,1552,735,47.36,817,52.64
SK0227514292,Oslany,2372,1187,50.04,1185,49.96
SK0227514306,Podhradie (Okres Prievidza),295,153,51.86,142,48.14
SK0227514314,Poluvsie,535,280,52.34,255,47.66
SK0227514322,Poruba,1376,688,50,688,50
SK0227514331,Pravenec,1305,667,51.11,638,48.89
SK0227514349,Radobica,552,290,52.54,262,47.46
SK0227514357,Ráztočno,1235,612,49.55,623,50.45
SK0227514365,Rudnianska Lehota,736,371,50.41,365,49.59
SK0227514373,Sebedražie,1715,841,49.04,874,50.96
SK0227514381,Seč,394,189,47.97,205,52.03
SK0227514390,Šútovce,444,218,49.1,226,50.9
SK0227514403,Temeš,212,110,51.89,102,48.11
SK0227514411,Tužina,1208,590,48.84,618,51.16
SK0227514420,Valaská Belá,1994,996,49.95,998,50.05
SK0227514438,Veľká Čausa,519,257,49.52,262,50.48
SK0227514454,Zemianske Kostoľany,1733,841,48.53,892,51.47
SK0227557706,Lipník,563,272,48.31,291,51.69
SK0227557714,Jalovec (Okres Prievidza),566,280,49.47,286,50.53
SK0228500348,Zubák,829,419,50.54,410,49.46
SK0228512851,Beluša,6162,3088,50.11,3074,49.89
SK0228512940,Dohňany,1859,941,50.62,918,49.38
SK0228512958,Dolná Breznica,1004,504,50.2,500,49.8
SK0228513121,Horovce (Okres Púchov),840,413,49.17,427,50.83
SK0228513300,Lazy pod Makytou,1209,597,49.38,612,50.62
SK0228513318,Lednica,940,471,50.11,469,49.89
SK0228513326,Lednické Rovne,3964,1966,49.6,1998,50.4
SK0228513334,Lúky,924,474,51.3,450,48.7
SK0228513342,Lysá pod Makytou,2065,1018,49.3,1047,50.7
SK0228513377,Mestečko,523,256,48.95,267,51.05
SK0228513407,Mojtín,432,218,50.46,214,49.54
SK0228513610,Púchov,17472,8502,48.66,8970,51.34
SK0228513776,Visolaje,971,468,48.2,503,51.8
SK0228513814,Záriečie,703,344,48.93,359,51.07
SK0228557439,Dolné Kočkovce,1205,592,49.13,613,50.87
SK0228557447,Nimnica,716,357,49.86,359,50.14
SK0228557471,Streženice,1046,516,49.33,530,50.67
SK0228557498,Vydrná,297,151,50.84,146,49.16
SK0228557501,Kvašov,653,318,48.7,335,51.3
SK0228557692,Horná Breznica,505,255,50.5,250,49.5
SK0229505820,Trenčín,54740,26233,47.92,28507,52.08
SK0229505838,Adamovské Kochanovce,872,445,51.03,427,48.97
SK0229505854,Bobot,745,363,48.72,382,51.28
SK0229505935,Dolná Poruba,791,418,52.84,373,47.16
SK0229505943,Dolná Súča,3059,1512,49.43,1547,50.57
SK0229505960,Drietoma,2233,1127,50.47,1106,49.53
SK0229505978,Dubodiel,971,475,48.92,496,51.08
SK0229506010,Horná Súča,3301,1686,51.08,1615,48.92
SK0229506028,Horňany,429,192,44.76,237,55.24
SK0229506036,Horné Srnie,2707,1338,49.43,1369,50.57
SK0229506044,Hrabovka,427,209,48.95,218,51.05
SK0229506087,Chocholná-Velčice,1695,882,52.04,813,47.96
SK0229506095,Ivanovce,1032,501,48.55,531,51.45
SK0229506133,Kostolná-Záriečie,691,339,49.06,352,50.94
SK0229506168,Krivosúd-Bodovka,358,186,51.96,172,48.04
SK0229506231,Mníchova Lehota,1221,632,51.76,589,48.24
SK0229506273,Motešice,782,393,50.26,389,49.74
SK0229506281,Nemšová,6335,3121,49.27,3214,50.73
SK0229506290,Neporadza (Okres Trenčín),783,400,51.09,383,48.91
SK0229506354,Omšenie,1885,941,49.92,944,50.08
SK0229506371,Opatovce,425,209,49.18,216,50.82
SK0229506478,Selec,1007,501,49.75,506,50.25
SK0229506508,Soblahov,2408,1188,49.34,1220,50.66
SK0229506532,Svinná,1591,802,50.41,789,49.59
SK0229506541,Štvrtok,424,214,50.47,210,49.53
SK0229506559,Trenčianska Teplá,4222,2086,49.41,2136,50.59
SK0229506567,Trenčianska Turná,3563,1796,50.41,1767,49.59
SK0229506591,Trenčianske Jastrabie,1252,643,51.36,609,48.64
SK0229506605,Trenčianske Mitice,787,400,50.83,387,49.17
SK0229506613,Trenčianske Teplice,3980,1866,46.88,2114,53.12
SK0229506648,Veľká Hradná,771,385,49.94,386,50.06
SK0229506656,Veľké Bierovce,708,356,50.28,352,49.72
SK0229545686,Melčice-Lieskové,1651,781,47.3,870,52.7
SK0229545741,Trenčianske Stankovce,3403,1680,49.37,1723,50.63
SK0229546682,Skalka nad Váhom,1166,572,49.06,594,50.94
SK0229556475,Zamarovce,1163,576,49.53,587,50.47
SK0229581348,Petrova Lehota,199,102,51.26,97,48.74
SK0231501026,Komárno,32967,15679,47.56,17288,52.44
SK0231501034,Bajč,1223,608,49.71,615,50.29
SK0231501042,Bodza,381,194,50.92,187,49.08
SK0231501069,Brestovec (Okres Komárno),485,235,48.45,250,51.55
SK0231501077,Búč,1148,562,48.95,586,51.05
SK0231501085,Čalovec,1114,547,49.1,567,50.9
SK0231501093,Číčov,1231,631,51.26,600,48.74
SK0231501107,Dedina Mládeže,438,208,47.49,230,52.51
SK0231501115,Svätý Peter,2735,1359,49.69,1376,50.31
SK0231501123,Dulovce,1648,807,48.97,841,51.03
SK0231501140,Hurbanovo,7467,3654,48.94,3813,51.06
SK0231501158,Chotín,1375,665,48.36,710,51.64
SK0231501166,Imeľ,1982,964,48.64,1018,51.36
SK0231501174,Iža,1781,888,49.86,893,50.14
SK0231501182,Kameničná,1934,935,48.35,999,51.65
SK0231501191,Klížska Nemá,449,241,53.67,208,46.33
SK0231501204,Kolárovo,10572,5297,50.1,5275,49.9
SK0231501212,Kravany nad Dunajom,718,328,45.68,390,54.32
SK0231501221,Lipové,142,73,51.41,69,48.59
SK0231501239,Marcelová,3802,1879,49.42,1923,50.58
SK0231501247,Martovce,694,332,47.84,362,52.16
SK0231501255,Moča,1132,546,48.23,586,51.77
SK0231501263,Modrany,1315,656,49.89,659,50.11
SK0231501271,Mudroňovo,124,72,58.06,52,41.94
SK0231501280,Nesvady,5014,2448,48.82,2566,51.18
SK0231501301,Okoličná na Ostrove,1440,722,50.14,718,49.86
SK0231501310,Patince,527,267,50.66,260,49.34
SK0231501328,Pribeta,2745,1346,49.03,1399,50.97
SK0231501336,Radvaň nad Dunajom,711,349,49.09,362,50.91
SK0231501344,Sokolce,1203,581,48.3,622,51.7
SK0231501352,Šrobárová,505,238,47.13,267,52.87
SK0231501361,Tôň,737,375,50.88,362,49.12
SK0231501379,Trávnik,683,359,52.56,324,47.44
SK0231501387,Veľké Kosihy,945,478,50.58,467,49.42
SK0231501395,Bátorove Kosihy,3323,1604,48.27,1719,51.73
SK0231501409,Vrbová nad Váhom,543,260,47.88,283,52.12
SK0231501417,Zemianska Olča,2317,1165,50.28,1152,49.72
SK0231501425,Zlatná na Ostrove,2428,1215,50.04,1213,49.96
SK0231555819,Bodzianske Lúky,191,90,47.12,101,52.88
SK0231555827,Virt,309,158,51.13,151,48.87
SK0231580911,Holiare,474,231,48.73,243,51.27
SK0232502031,Levice,31974,15174,47.46,16800,52.54
SK0232502049,Bajka,328,172,52.44,156,47.56
SK0232502057,Bátovce,1184,576,48.65,608,51.35
SK0232502065,Beša (Okres Levice),635,319,50.24,316,49.76
SK0232502073,Bielovce,225,100,44.44,125,55.56
SK0232502090,Bory,321,147,45.79,174,54.21
SK0232502103,Brhlovce,296,142,47.97,154,52.03
SK0232502111,Čajkov,957,472,49.32,485,50.68
SK0232502120,Čaka,743,344,46.3,399,53.7
SK0232502154,Demandice,966,467,48.34,499,51.66
SK0232502162,Devičany,408,204,50,204,50
SK0232502171,Dolná Seč,525,274,52.19,251,47.81
SK0232502189,Dolné Semerovce,540,275,50.93,265,49.07
SK0232502197,Dolný Pial,911,444,48.74,467,51.26
SK0232502201,Domadice,242,126,52.07,116,47.93
SK0232502219,Drženice,382,195,51.05,187,48.95
SK0232502227,Farná,1349,653,48.41,696,51.59
SK0232502243,Hokovce,505,239,47.33,266,52.67
SK0232502251,Hontianska Vrbica,611,306,50.08,305,49.92
SK0232502260,Horná Seč,570,274,48.07,296,51.93
SK0232502278,Horné Semerovce,641,300,46.8,341,53.2
SK0232502286,Horné Turovce,567,281,49.56,286,50.44
SK0232502294,Horný Pial,268,146,54.48,122,45.52
SK0232502324,Hronovce,1486,740,49.8,746,50.2
SK0232502332,Hronské Kľačany,1401,693,49.46,708,50.54
SK0232502341,Hronské Kosihy,742,366,49.33,376,50.67
SK0232502359,Iňa,229,122,53.28,107,46.72
SK0232502367,Ipeľské Úľany,274,132,48.18,142,51.82
SK0232502375,Ipeľský Sokolec,829,401,48.37,428,51.63
SK0232502383,Jabloňovce,209,98,46.89,111,53.11
SK0232502391,Jur nad Hronom,983,497,50.56,486,49.44
SK0232502413,Kalná nad Hronom,2073,995,48,1078,52
SK0232502421,Kozárovce,2082,1005,48.27,1077,51.73
SK0232502430,Krškany,791,434,54.87,357,45.13
SK0232502448,Kubáňovo,256,126,49.22,130,50.78
SK0232502456,Kukučínov,587,287,48.89,300,51.11
SK0232502464,Kuraľany,475,233,49.05,242,50.95
SK0232502472,Keť,577,263,45.58,314,54.42
SK0232502481,Lok,1073,544,50.7,529,49.3
SK0232502499,Lontov,662,346,52.27,316,47.73
SK0232502502,Lula,175,87,49.71,88,50.29
SK0232502511,Málaš,480,244,50.83,236,49.17
SK0232502537,Malé Ludince,170,80,47.06,90,52.94
SK0232502570,Mýtne Ludany,980,495,50.51,485,49.49
SK0232502588,Nová Dedina,1456,704,48.35,752,51.65
SK0232502596,Nový Tekov,897,451,50.28,446,49.72
SK0232502600,Nýrovce,520,250,48.08,270,51.92
SK0232502618,Ondrejovce,440,216,49.09,224,50.91
SK0232502626,Pastovce,495,245,49.49,250,50.51
SK0232502634,Pečenice,127,66,51.97,61,48.03
SK0232502642,Plášťovce,1504,720,47.87,784,52.13
SK0232502651,Plavé Vozokany,774,386,49.87,388,50.13
SK0232502669,Podlužany (Okres Levice),764,371,48.56,393,51.44
SK0232502677,Pohronský Ruskov,1241,614,49.48,627,50.52
SK0232502693,Pukanec,1777,892,50.2,885,49.8
SK0232502707,Rybník (Okres Levice),1406,692,49.22,714,50.78
SK0232502715,Santovka,659,334,50.68,325,49.32
SK0232502723,Sazdice,465,222,47.74,243,52.26
SK0232502731,Sikenica,627,298,47.53,329,52.47
SK0232502740,Slatina,312,155,49.68,157,50.32
SK0232502758,Starý Hrádok,207,109,52.66,98,47.34
SK0232502766,Starý Tekov,1495,739,49.43,756,50.57
SK0232502782,Šahy,7267,3443,47.38,3824,52.62
SK0232502791,Šalov,352,191,54.26,161,45.74
SK0232502804,Šarovce,1606,789,49.13,817,50.87
SK0232502812,Tehla,465,238,51.18,227,48.82
SK0232502821,Tekovské Lužany,2843,1407,49.49,1436,50.51
SK0232502847,Tekovský Hrádok,380,174,45.79,206,54.21
SK0232502863,Tlmače,3637,1767,48.58,1870,51.42
SK0232502871,Tupá,568,275,48.42,293,51.58
SK0232502880,Turá,215,114,53.02,101,46.98
SK0232502898,Uhliská,180,102,56.67,78,43.33
SK0232502910,Veľké Ludince,1464,693,47.34,771,52.66
SK0232502928,Veľké Turovce,742,378,50.94,364,49.06
SK0232502936,Veľký Ďur,1319,626,47.46,693,52.54
SK0232502944,Vyškovce nad Ipľom,655,348,53.13,307,46.87
SK0232502952,Vyšné nad Hronom,175,81,46.29,94,53.71
SK0232502961,Zalaba,141,78,55.32,63,44.68
SK0232502979,Zbrojníky,498,232,46.59,266,53.41
SK0232502987,Želiezovce,6756,3209,47.5,3547,52.5
SK0232502995,Žemberovce,1229,606,49.31,623,50.69
SK0232503002,Žemliare,150,67,44.67,83,55.33
SK0232545350,Hontianske Trsťany,306,148,48.37,158,51.63
SK0232555843,Čata,1085,518,47.74,567,52.26
SK0232556777,Jesenské (Okres Levice),49,24,48.98,25,51.02
SK0232580937,Bohunice (Okres Levice),149,77,51.68,72,48.32
SK0232581135,Malé Kozmálovce,381,190,49.87,191,50.13
SK0232581160,Veľké Kozmálovce,718,352,49.03,366,50.97
SK0232581895,Hrkovce,291,135,46.39,156,53.61
SK0233500011,Nitra,78489,37498,47.77,40991,52.23
SK0233500020,Alekšince,1699,831,48.91,868,51.09
SK0233500046,Báb,1195,580,48.54,615,51.46
SK0233500071,Branč,2168,1053,48.57,1115,51.43
SK0233500101,Čakajovce,1163,587,50.47,576,49.53
SK0233500135,Čeľadice,1078,524,48.61,554,51.39
SK0233500160,Čifáre,596,299,50.17,297,49.83
SK0233500194,Dolné Obdokovce,1140,587,51.49,553,48.51
SK0233500232,Golianovo,1892,930,49.15,962,50.85
SK0233500313,Hruboňovo,526,251,47.72,275,52.28
SK0233500356,Jarok,2065,1024,49.59,1041,50.41
SK0233500372,Jelenec,2075,1046,50.41,1029,49.59
SK0233500381,Jelšovce,988,486,49.19,502,50.81
SK0233500399,Kapince,184,98,53.26,86,46.74
SK0233500402,Klasov,1426,774,54.28,652,45.72
SK0233500411,Kolíňany,1551,753,48.55,798,51.45
SK0233500453,Lehota,2382,1164,48.87,1218,51.13
SK0233500470,Lúčnica nad Žitavou,957,461,48.17,496,51.83
SK0233500488,Lukáčovce,1167,573,49.1,594,50.9
SK0233500518,Veľké Chyndice,338,170,50.3,168,49.7
SK0233500534,Malé Zálužie,266,134,50.38,132,49.62
SK0233500569,Melek,497,250,50.3,247,49.7
SK0233500577,Mojmírovce,2922,1470,50.31,1452,49.69
SK0233500631,Nová Ves nad Žitavou,1338,663,49.55,675,50.45
SK0233500640,Nové Sady,1296,640,49.38,656,50.62
SK0233500666,Paňa,392,189,48.21,203,51.79
SK0233500674,Podhorany (Okres Nitra),1085,550,50.69,535,49.31
SK0233500682,Pohranice,1112,535,48.11,577,51.89
SK0233500691,Poľný Kesov,654,307,46.94,347,53.06
SK0233500704,Rišňovce,2096,1037,49.48,1059,50.52
SK0233500712,Rumanová,821,396,48.23,425,51.77
SK0233500780,Šurianky,588,284,48.3,304,51.7
SK0233500798,Tajná,275,144,52.36,131,47.64
SK0233500844,Veľká Dolina,683,354,51.83,329,48.17
SK0233500887,Veľké Zálužie,4350,2121,48.76,2229,51.24
SK0233500895,Veľký Cetín,1626,771,47.42,855,52.58
SK0233500917,Vinodol,2061,1025,49.73,1036,50.27
SK0233500933,Vráble,8593,4198,48.85,4395,51.15
SK0233500941,Výčapy-Opatovce,2197,1094,49.8,1103,50.2
SK0233500950,Zbehy,2222,1090,49.05,1132,50.95
SK0233500992,Žirany,1360,654,48.09,706,51.91
SK0233501018,Žitavce,412,224,54.37,188,45.63
SK0233545589,Cabaj-Čápor,4295,2114,49.22,2181,50.78
SK0233545635,Horné Lefantovce,861,412,47.85,449,52.15
SK0233555851,Malý Lapáš,1206,573,47.51,633,52.49
SK0233555860,Veľký Lapáš,1887,930,49.28,957,50.72
SK0233555886,Čechynce,1255,611,48.69,644,51.31
SK0233555908,Malý Cetín,452,224,49.56,228,50.44
SK0233555959,Hosťová,392,198,50.51,194,49.49
SK0233555967,Telince,420,212,50.48,208,49.52
SK0233555991,Svätoplukovo,1368,672,49.12,696,50.88
SK0233556696,Nitrianske Hrnčiarovce,2196,1060,48.27,1136,51.73
SK0233556785,Malé Chyndice,386,203,52.59,183,47.41
SK0233558320,Ivanka pri Nitre,2868,1356,47.28,1512,52.72
SK0233580899,Lužianky,3060,1501,49.05,1559,50.95
SK0233581097,Ľudovítová,239,112,46.86,127,53.14
SK0233581623,Babindol,762,392,51.44,370,48.56
SK0233581691,Štefanovičová,321,163,50.78,158,49.22
SK0233582387,Čab,775,377,48.65,398,51.35
SK0233582425,Dolné Lefantovce,702,365,51.99,337,48.01
SK0233582697,Bádice,390,204,52.31,186,47.69
SK0233582719,Štitáre,1028,505,49.12,523,50.88
SK0234503011,Nové Zámky,37791,18006,47.65,19785,52.35
SK0234503029,Andovce,1623,810,49.91,813,50.09
SK0234503037,Bajtava,392,189,48.21,203,51.79
SK0234503045,Bánov,3697,1818,49.18,1879,50.82
SK0234503053,Bardoňovo,682,384,56.3,298,43.7
SK0234503061,Belá (Okres Nové Zámky),325,153,47.08,172,52.92
SK0234503070,Bešeňov,1621,773,47.69,848,52.31
SK0234503088,Bíňa,1433,691,48.22,742,51.78
SK0234503096,Branovo,579,281,48.53,298,51.47
SK0234503100,Bruty,578,286,49.48,292,50.52
SK0234503118,Čechy,301,145,48.17,156,51.83
SK0234503126,Černík,1048,520,49.62,528,50.38
SK0234503134,Dedinka,677,333,49.19,344,50.81
SK0234503151,Dolný Ohaj,1505,752,49.97,753,50.03
SK0234503169,Dubník,1576,799,50.7,777,49.3
SK0234503177,Dvory nad Žitavou,4999,2519,50.39,2480,49.61
SK0234503185,Gbelce,2123,1043,49.13,1080,50.87
SK0234503193,Hul,1212,597,49.26,615,50.74
SK0234503207,Chľaba,705,355,50.35,350,49.65
SK0234503215,Jasová,1151,538,46.74,613,53.26
SK0234503223,Jatov,713,359,50.35,354,49.65
SK0234503231,Kamenica nad Hronom,1269,585,46.1,684,53.9
SK0234503240,Kamenín,1479,715,48.34,764,51.66
SK0234503258,Kamenný Most,1060,507,47.83,553,52.17
SK0234503266,Kmeťovo,827,419,50.67,408,49.33
SK0234503274,Kolta,1257,640,50.91,617,49.09
SK0234503282,Komjatice,4223,2057,48.71,2166,51.29
SK0234503291,Komoča,955,448,46.91,507,53.09
SK0234503312,Leľa,308,154,50,154,50
SK0234503321,Lipová (Okres Nové Zámky),1524,788,51.71,736,48.29
SK0234503339,Ľubá,404,197,48.76,207,51.24
SK0234503347,Malá nad Hronom,398,191,47.99,207,52.01
SK0234503355,Malé Kosihy,379,198,52.24,181,47.76
SK0234503363,Maňa,2004,929,46.36,1075,53.64
SK0234503371,Michal nad Žitavou,672,330,49.11,342,50.89
SK0234503380,Veľký Kýr,2980,1484,49.8,1496,50.2
SK0234503398,Mojzesovo,1346,660,49.03,686,50.97
SK0234503401,Mužla,1912,966,50.52,946,49.48
SK0234503436,Nová Vieska,656,326,49.7,330,50.3
SK0234503452,Palárikovo,4272,2104,49.25,2168,50.75
SK0234503479,Podhájska,1077,527,48.93,550,51.07
SK0234503487,Pozba,456,225,49.34,231,50.66
SK0234503495,Radava,757,377,49.8,380,50.2
SK0234503509,Rastislavice,951,480,50.47,471,49.53
SK0234503517,Rúbaň,926,461,49.78,465,50.22
SK0234503525,Salka,974,498,51.13,476,48.87
SK0234503533,Semerovo,1332,674,50.6,658,49.4
SK0234503541,Sikenička,436,208,47.71,228,52.29
SK0234503550,Strekov,1926,931,48.34,995,51.66
SK0234503568,Svodín,2412,1165,48.3,1247,51.7
SK0234503576,Šarkan,371,172,46.36,199,53.64
SK0234503584,Štúrovo,9777,4675,47.82,5102,52.18
SK0234503592,Šurany,9562,4677,48.91,4885,51.09
SK0234503606,Trávnica,1032,511,49.52,521,50.48
SK0234503614,Tvrdošovce,5183,2529,48.79,2654,51.21
SK0234503631,Veľké Lovce,1803,903,50.08,900,49.92
SK0234503649,Zemné,2136,1067,49.95,1069,50.05
SK0234556025,Vlkas,316,156,49.37,160,50.63
SK0234556033,Pavlová,213,101,47.42,112,52.58
SK0234556050,Úľany nad Žitavou,1533,754,49.18,779,50.82
SK0234556092,Nána,1198,580,48.41,618,51.59
SK0234582361,Obid,1141,554,48.55,587,51.45
SK0235500241,Hájske,1346,646,47.99,700,52.01
SK0235500739,Močenok,4356,2190,50.28,2166,49.72
SK0235503711,Diakovce,2381,1187,49.85,1194,50.15
SK0235503720,Dlhá nad Váhom,913,446,48.85,467,51.15
SK0235503886,Kráľová nad Váhom,1828,903,49.4,925,50.6
SK0235503932,Neded,3215,1591,49.49,1624,50.51
SK0235503991,Selice,2872,1429,49.76,1443,50.24
SK0235504025,Šaľa,21183,10329,48.76,10854,51.24
SK0235504068,Tešedíkovo,3719,1825,49.07,1894,50.93
SK0235504092,Trnovec nad Váhom,2784,1405,50.47,1379,49.53
SK0235504165,Vlčany,3220,1564,48.57,1656,51.43
SK0235504190,Žihárec,1794,874,48.72,920,51.28
SK0235555878,Horná Kráľová,1866,948,50.8,918,49.2
SK0236504998,Topoľčany,25249,12091,47.89,13158,52.11
SK0236505021,Lipovník (Okres Topoľčany),315,149,47.3,166,52.7
SK0236505048,Ludanice,1794,888,49.5,906,50.5
SK0236505064,Lužany,225,117,52,108,48
SK0236505137,Malé Ripňany,545,268,49.17,277,50.83
SK0236505226,Nemečky,309,146,47.25,163,52.75
SK0236505234,Nitrianska Blatnica,1232,612,49.68,620,50.32
SK0236505242,Nitrianska Streda,743,357,48.05,386,51.95
SK0236505251,Norovce,335,178,53.13,157,46.87
SK0236505285,Oponice,820,419,51.1,401,48.9
SK0236505340,Podhradie (Okres Topoľčany),283,143,50.53,140,49.47
SK0236505374,Prašice,2035,1026,50.42,1009,49.58
SK0236505404,Preseľany,1479,753,50.91,726,49.09
SK0236505421,Radošina,1889,936,49.55,953,50.45
SK0236505439,Rajčany,535,268,50.09,267,49.91
SK0236505498,Solčany,2553,1268,49.67,1285,50.33
SK0236505510,Súlovce,539,262,48.61,277,51.39
SK0236505536,Šalgovce,516,257,49.81,259,50.19
SK0236505561,Tesáre,730,368,50.41,362,49.59
SK0236505617,Tvrdomestice,456,242,53.07,214,46.93
SK0236505641,Urmince,1402,676,48.22,726,51.78
SK0236505676,Veľké Dvorany,748,401,53.61,347,46.39
SK0236505714,Veľké Ripňany,2104,1044,49.62,1060,50.38
SK0236505749,Velušovce,524,262,50,262,50
SK0236505757,Vozokany (Okres Topoľčany),351,177,50.43,174,49.57
SK0236505773,Závada (Okres Topoľčany),596,315,52.85,281,47.15
SK0236542661,Belince,364,185,50.82,179,49.18
SK0236542695,Biskupová,244,138,56.56,106,43.44
SK0236542709,Blesovce,346,176,50.87,170,49.13
SK0236542717,Bojná,2028,1020,50.3,1008,49.7
SK0236542792,Čermany,364,183,50.27,181,49.73
SK0236542881,Hajná Nová Ves,340,151,44.41,189,55.59
SK0236542938,Horné Obdokovce,1490,760,51.01,730,48.99
SK0236542954,Horné Štitáre,607,284,46.79,323,53.21
SK0236542971,Hrušovany,1092,532,48.72,560,51.28
SK0236543039,Kamanová,607,304,50.08,303,49.92
SK0236543063,Koniarovce,647,335,51.78,312,48.22
SK0236543071,Kovarce,1579,843,53.39,736,46.61
SK0236543101,Krnča,1366,670,49.05,696,50.95
SK0236543110,Krtovce,290,149,51.38,141,48.62
SK0236556149,Krušovce,1745,866,49.63,879,50.37
SK0236556157,Jacovce,1805,906,50.19,899,49.81
SK0236556165,Chrabrany,850,430,50.59,420,49.41
SK0236556211,Orešany,335,174,51.94,161,48.06
SK0236556220,Ardanovce,204,102,50,102,50
SK0236556238,Svrbice,186,91,48.92,95,51.08
SK0236556262,Dvorany nad Nitrou,799,398,49.81,401,50.19
SK0236556297,Čeľadince,472,250,52.97,222,47.03
SK0236556327,Solčianky,261,138,52.87,123,47.13
SK0236556351,Horné Chlebany,359,175,48.75,184,51.25
SK0236580457,Tovarníky,1488,742,49.87,746,50.13
SK0236581305,Nemčice,975,481,49.33,494,50.67
SK0236581658,Práznovce,974,483,49.59,491,50.41
SK0236581704,Kuzmice (Okres Topoľčany),753,400,53.12,353,46.88
